candidate,organization,type,total_raised
ROBERT F KENNEDY JR. (I),Honest Government 24,SuperPAC,"$202,110"
ROBERT F KENNEDY JR. (I),Fighting for One America PAC,SuperPAC,"$148,000"
KAMALA HARRIS (D),FTW PAC,SuperPAC,"$100,901"
DONALD TRUMP (R),Asians Making America Great Again,SuperPAC,"$97,571"
DONALD TRUMP (R),College Republicans of America,SuperPAC,"$93,005"
KAMALA HARRIS (D),AANHPI Rising Tide,SuperPAC,"$91,857"
DONALD TRUMP (R),Billboards 47 Swing States,SuperPAC,"$81,694"
KAMALA HARRIS (D),Mothering Justice PAC,SuperPAC,"$75,000"
DONALD TRUMP (R),Great America PAC,Carey,"$56,404"
DONALD TRUMP (R),Win USA PAC,SuperPAC,"$51,669"
KAMALA HARRIS (D),Eleven5 PAC,SuperPAC,"$47,385"
DONALD TRUMP (R),America First Veterans PAC,SuperPAC,"$30,000"
DONALD TRUMP (R),New Gen 47,Carey,"$20,952"
KAMALA HARRIS (D),Virginians Defending the Constitution,SuperPAC,"$13,915"
DONALD TRUMP (R),Wilberforce PAC,SuperPAC,"$5,000"
ROBERT F KENNEDY JR. (I),THE VENUS PAC,SuperPAC,"$2,595"
DONALD TRUMP (R),People & Politics PAC,SuperPAC,"$2,106"
DONALD TRUMP (R),"Make America Great Again, Again!",SuperPAC,$200
DONALD TRUMP (R),Just the Truth PAC,SuperPAC,$0
DONALD TRUMP (R),Independents Unite,SuperPAC,$0
DONALD TRUMP (R),Stop Trump PAC,Carey,$0
DONALD TRUMP (R),Redefeat the Cheat,PAC,$0
DONALD TRUMP (R),Progressive Source PAC,SuperPAC,$0
DONALD TRUMP (R),Anti-Psychopath PAC,SuperPAC,$0
DONALD TRUMP (R),CAMPAIGN TO SUPPORT THE PRESIDENT,Carey,$0
ROBERT F KENNEDY JR. (I),Clear Choice PAC,SuperPAC,$0
KAMALA HARRIS (D),Chronically Ill & Disabled Americans for Progress,SuperPAC,$0
KAMALA HARRIS (D),Faith Voters for Good,501c,$0
DONALD TRUMP (R),Defending Democracy Together,501c,$0
DONALD TRUMP (R),We Vote Values,SuperPAC,$0
DONALD TRUMP (R),Voices For Reason PAC,SuperPAC,$0
